Maximum charge required by PS: 37.17054000 	 corresponding to sample 52
 EVs  From  To  Dist #EVs
  226    4    2 16.7500    7
  227   14   13 33.2500   13
  228    6   12 24.3750   13
  229   13   14 33.2500   13
  230   11    6 18.9500   13
  231   12    6 24.3750   13
  232   14   13 33.2500   13
  233   13   12 19.0500   13
  234   14   13 33.2500   13
  235    2    4 16.7500    7
  236   11   10 18.2750   13
  237    4    5 4.0000    7
  238    9   14 25.7500   13
  239   14    9 25.7500   13
  240    3    2 18.8500   13
  241   14    9 25.7500   13
  242    6   11 18.9500   13
  243    2    4 16.7500    7
  244    6   12 24.3750   13
  245    9   14 25.7500   13
  246   13   14 33.2500   13
  247   10    9 8.0500    7
  248    3    2 18.8500    7
  249   12   13 19.0500   13
  250   13   12 19.0500   13
  251   12    6 24.3750   13
  252    9   10 8.0500    7
  253   10    9 8.0500    7
  254    6   13 12.3750    7
  255   12    6 24.3750   13
  256   14   13 33.2500   13
  257    6   11 18.9500    7
  258   10   11 18.2750    7
  259   11   10 18.2750   13
  260   12   13 19.0500   13
  261   14   13 33.2500   13
  262    3    2 18.8500   13
  263    3    4 16.2750    7
  264   14    9 25.7500   13
  265    6   12 24.3750   13
  266    3    2 18.8500   13
  267   14    9 25.7500   13
  268    6   11 18.9500   13
  269    2    5 16.5750   13
  270   11    6 18.9500   13
  271   13   12 19.0500   13
  272    4    5 4.0000    7
  273    5    2 16.5750    7
  274    2    3 18.8500   13
  275   10    9 8.0500    7
  276    9   10 8.0500    7
  277    3    4 16.2750    7
  278    9   10 8.0500    7
  279   10   11 18.2750   13
  280   13   14 33.2500   13
  281    9   14 25.7500   13
  282    2    3 18.8500    7
  283    9   14 25.7500   13
  284    4    5 4.0000    7
  285    2    5 16.5750    7
  286    6   12 24.3750   13
  287   13    6 12.3750    7
  288    3    4 16.2750    7
  289    2    5 16.5750    7
  290    2    4 16.7500    7
  291   12   13 19.0500   13
  292   12   13 19.0500    7
  293    9   14 25.7500   13
  294    2    3 18.8500   13
  295    6   11 18.9500   13
  296    4    3 16.2750    7
  297   14    9 25.7500   13
  298    4    2 16.7500    7
  299    3    2 18.8500   13
  300    9   14 25.7500   13
  301   11    6 18.9500   13
  302    4    2 16.7500    7
  303    2    5 16.5750    7
  304    2    4 16.7500    7
  305    3    4 16.2750    7
  306    3    4 16.2750    7
  307    6   13 12.3750    7
  308   10    9 8.0500    7
  309   14   13 33.2500   13
  310    2    3 18.8500    7
  311   10   11 18.2750   13
  312   10   11 18.2750    7
  313    6   12 24.3750   13
  314    2    3 18.8500   13
  315   13   14 33.2500   13
  316    9   10 8.0500    7
  317   14    9 25.7500   13
  318   14    9 25.7500   13
  319    3    2 18.8500    7
  320   10   11 18.2750   13
  321   12   13 19.0500    7
  322   13    6 12.3750    7
  323    9   10 8.0500    7
  324    2    4 16.7500    7
  325    4    3 16.2750    7
  326    9   10 8.0500    7
  327    5    4 4.0000    7
  328   13    6 12.3750    7
  329   14    9 25.7500   13
  330   10   11 18.2750    7
  331   10   11 18.2750    7
  332    4    3 16.2750    7
  333    6   11 18.9500   13
  334    5    4 4.0000    7
  335    9   10 8.0500    7
  336   12    6 24.3750   13
  337    6   13 12.3750    7
  338   11    6 18.9500    7
  339    5    4 4.0000    7
  340    2    5 16.5750    7
  341    6   13 12.3750    7
  342   14   13 33.2500   13
