Maximum charge required by PS: 25.86590000 	 corresponding to sample 5
 EVs  From  To  Dist #EVs
    1    5    4 4.0000    7
    2   12   13 19.0500   13
    3    5    4 4.0000    7
    4    3    4 16.2750    7
    5   10   11 18.2750    7
    6   11    6 18.9500   13
    7    6   13 12.3750    7
    8   11   10 18.2750   13
    9   12   13 19.0500   13
   10   14   13 33.2500   13
   11   11    6 18.9500    7
   12    5    4 4.0000    7
   13    9   10 8.0500    7
   14    3    2 18.8500   13
   15   10   11 18.2750   13
   16    5    2 16.5750    7
   17    2    3 18.8500   13
   18    6   11 18.9500    7
   19    6   13 12.3750    7
   20    5    2 16.5750    7
   21   10    9 8.0500    7
   22   14   13 33.2500   13
   23   14   13 33.2500   13
   24   14    9 25.7500   13
   25   10    9 8.0500    7
   26    5    2 16.5750    7
   27   12    6 24.3750   13
   28    4    2 16.7500    7
   29   14   13 33.2500   13
   30   10   11 18.2750    7
   31   14    9 25.7500   13
   32   11   10 18.2750   13
   33   14   13 33.2500   13
   34    4    5 4.0000    7
   35   13   14 33.2500   13
   36   14   13 33.2500   13
   37   10   11 18.2750   13
   38   11   10 18.2750   13
   39   11    6 18.9500   13
   40    4    5 4.0000    7
   41   13   14 33.2500   13
   42   10   11 18.2750    7
   43    5    2 16.5750    7
   44    6   13 12.3750    7
   45    4    2 16.7500   13
   46    6   12 24.3750   13
   47    2    3 18.8500    7
   48    3    4 16.2750    7
   49    5    4 4.0000    7
   50    2    4 16.7500    7
   51    4    5 4.0000    7
   52   12    6 24.3750   13
   53   11   10 18.2750   13
   54   11   10 18.2750    7
   55    6   11 18.9500    7
   56    5    2 16.5750    7
   57   12   13 19.0500    7
   58   11    6 18.9500   13
   59   13   14 33.2500   13
   60   13    6 12.3750    7
   61    2    4 16.7500    7
   62    9   14 25.7500   13
   63   13   12 19.0500   13
   64   12   13 19.0500   13
   65   13    6 12.3750    7
   66   13   14 33.2500   13
   67    4    2 16.7500    7
   68   12    6 24.3750   13
   69   13    6 12.3750    7
   70    9   14 25.7500   13
   71    6   13 12.3750    7
   72    9   10 8.0500    7
   73    9   10 8.0500    7
   74    9   10 8.0500    7
   75   14   13 33.2500   13
   76   13    6 12.3750    7
   77   10   11 18.2750    7
   78   12    6 24.3750   13
   79   12    6 24.3750   13
   80    4    3 16.2750    7
   81   11   10 18.2750   13
   82   11    6 18.9500   13
   83    5    2 16.5750   13
   84    4    2 16.7500    7
   85    6   12 24.3750   13
   86    9   14 25.7500   13
   87   11   10 18.2750   13
   88   14   13 33.2500   13
   89   14    9 25.7500   13
   90   12   13 19.0500    7
   91   14    9 25.7500   13
   92   10   11 18.2750    7
   93   11   10 18.2750   13
   94    3    2 18.8500   13
   95    4    3 16.2750    7
   96    9   10 8.0500    7
   97   11    6 18.9500    7
   98    3    4 16.2750    7
   99   12   13 19.0500    7
  100   12   13 19.0500   13
