Maximum charge required by PS: 25.86590000 	 corresponding to sample 5
 EVs  From  To  Dist #EVs
  101    5    4 4.0000    7
  102    2    3 18.8500    7
  103   13   12 19.0500   13
  104   10    9 8.0500    7
  105    4    5 4.0000    7
  106   10    9 8.0500    7
  107    2    5 16.5750    7
  108   11    6 18.9500    7
  109    2    5 16.5750    7
  110   10    9 8.0500    7
  111   12   13 19.0500   13
  112    4    2 16.7500    7
  113    5    4 4.0000    7
  114   13   14 33.2500   13
  115   10   11 18.2750   13
  116    9   14 25.7500   13
  117    5    2 16.5750    7
  118   14   13 33.2500   13
  119   14   13 33.2500   13
  120   13   14 33.2500   13
  121   10   11 18.2750    7
  122   14   13 33.2500   13
  123    3    4 16.2750    7
  124    6   12 24.3750   13
  125   14    9 25.7500   13
  126   12    6 24.3750   13
  127    9   10 8.0500    7
  128    3    2 18.8500    7
  129    3    2 18.8500   13
  130   14   13 33.2500   13
  131    3    4 16.2750    7
  132   13   12 19.0500    7
  133   12   13 19.0500   13
  134    4    2 16.7500    7
  135    2    5 16.5750    7
  136    3    4 16.2750    7
  137    6   13 12.3750    7
  138    3    2 18.8500   13
  139   13   14 33.2500   13
  140   14   13 33.2500   13
  141   14   13 33.2500   13
  142    9   10 8.0500    7
  143    6   12 24.3750   13
  144    4    2 16.7500    7
  145   14    9 25.7500   13
  146   13    6 12.3750    7
  147    4    3 16.2750    7
  148   10   11 18.2750    7
  149   11    6 18.9500    7
  150   14    9 25.7500   13
  151    4    5 4.0000    7
  152   14    9 25.7500   13
  153    6   12 24.3750   13
  154   10    9 8.0500    7
  155   12   13 19.0500    7
  156   14   13 33.2500   13
  157    6   11 18.9500    7
  158   13    6 12.3750    7
  159    3    4 16.2750    7
  160   13   12 19.0500    7
  161   11    6 18.9500   13
  162    9   10 8.0500    7
  163    4    2 16.7500   13
  164   14   13 33.2500   13
  165    4    2 16.7500    7
  166    6   12 24.3750   13
  167   14    9 25.7500   13
  168   13   14 33.2500   13
  169    9   10 8.0500    7
  170    2    4 16.7500    7
  171   14   13 33.2500   13
  172    3    2 18.8500    7
  173    3    2 18.8500   13
  174   12    6 24.3750   13
  175    9   10 8.0500    7
  176   14   13 33.2500   13
  177    4    3 16.2750    7
  178    6   11 18.9500    7
  179    4    5 4.0000    7
  180    2    5 16.5750   13
  181    4    2 16.7500   13
  182   11    6 18.9500    7
  183   13   14 33.2500   13
  184    9   10 8.0500    7
  185   10    9 8.0500    7
  186   12   13 19.0500   13
  187   13   14 33.2500   13
  188    3    4 16.2750    7
  189   14    9 25.7500   13
  190    3    2 18.8500   13
  191    5    2 16.5750    7
  192    6   11 18.9500   13
  193   14   13 33.2500   13
  194   12   13 19.0500   13
  195   14   13 33.2500   13
  196   11    6 18.9500    7
  197   12   13 19.0500   13
  198    6   12 24.3750   13
  199   13   14 33.2500   13
  200   11    6 18.9500   13
  201   11    6 18.9500   13
  202   10   11 18.2750   13
  203    6   12 24.3750   13
  204   14    9 25.7500   13
  205    9   10 8.0500    7
  206    4    5 4.0000    7
  207    9   10 8.0500    7
  208   14   13 33.2500   13
  209   11   10 18.2750   13
  210    2    5 16.5750    7
  211   10   11 18.2750    7
  212   10    9 8.0500    7
  213    3    4 16.2750    7
  214    4    5 4.0000    7
  215   14    9 25.7500   13
  216   14    9 25.7500   13
  217   13    6 12.3750    7
  218    3    4 16.2750    7
  219    9   14 25.7500   13
  220   12    6 24.3750   13
  221   14   13 33.2500   13
  222   14    9 25.7500   13
  223   13    6 12.3750    7
  224    3    4 16.2750    7
  225   13   14 33.2500   13
  226    6   12 24.3750   13
  227    4    2 16.7500   13
  228    3    4 16.2750    7
  229   12    6 24.3750   13
  230    4    5 4.0000    7
  231   13   12 19.0500   13
  232    3    4 16.2750    7
  233    4    5 4.0000    7
  234   10   11 18.2750    7
  235    5    2 16.5750    7
  236   11    6 18.9500   13
  237   12   13 19.0500    7
  238    9   14 25.7500   13
  239   10    9 8.0500    7
  240   14    9 25.7500   13
  241    2    5 16.5750    7
  242   12    6 24.3750   13
  243   10   11 18.2750   13
  244   11   10 18.2750   13
  245   14   13 33.2500   13
  246   10   11 18.2750   13
  247   13    6 12.3750    7
  248   11   10 18.2750    7
  249    9   10 8.0500    7
  250   10   11 18.2750   13
