Minimum charge required by PS: 18.2669 	 corresponding to sample 93
EVs  From  To  Dist #Evs
   1   14   13 33.2500    7
   2    3    4 16.2750    7
   3    5    4 4.0000   13
   4    2    4 16.7500   13
   5   11    6 18.9500    7
   6   12   13 19.0500    7
   7    6   12 24.3750    7
   8   12   13 19.0500   13
   9   10   11 18.2750    7
  10    4    5 4.0000   13
  11    2    4 16.7500   13
  12    9   10 8.0500   13
  13   13    6 12.3750   13
  14    2    4 16.7500   13
  15    4    5 4.0000   13
  16    6   11 18.9500    7
  17    5    2 16.5750    7
  18   11   10 18.2750    7
  19   13   14 33.2500    7
  20   14    9 25.7500    7
  21    6   13 12.3750   13
  22    5    4 4.0000   13
  23    4    2 16.7500    7
  24    9   14 25.7500    7
  25    4    5 4.0000   13
  26   12    6 24.3750    7
  27    4    3 16.2750   13
  28   13   12 19.0500    7
  29    6   13 12.3750   13
  30    3    2 18.8500   13
  31    2    4 16.7500   13
  32    5    4 4.0000   13
  33   11   10 18.2750   13
  34    2    4 16.7500   13
  35    9   10 8.0500   13
  36   12    6 24.3750    7
  37   13    6 12.3750   13
  38    5    4 4.0000   13
  39    4    2 16.7500    7
  40   12   13 19.0500    7
  41    3    4 16.2750    7
  42    6   12 24.3750    7
  43    5    4 4.0000   13
  44    9   10 8.0500   13
  45    9   14 25.7500    7
  46    4    3 16.2750    7
  47   14   13 33.2500    7
  48   10    9 8.0500   13
  49    5    4 4.0000   13
  50    9   10 8.0500   13
  51    4    2 16.7500   13
  52    9   14 25.7500    7
  53    3    4 16.2750   13
  54    5    4 4.0000   13
  55   12    6 24.3750    7
  56    9   10 8.0500   13
  57    3    2 18.8500    7
  58    5    4 4.0000   13
  59    2    5 16.5750   13
  60    3    2 18.8500    7
  61   10   11 18.2750    7
  62    3    4 16.2750   13
  63   12   13 19.0500    7
  64    9   10 8.0500   13
  65   10   11 18.2750    7
  66   11    6 18.9500    7
  67   12   13 19.0500    7
  68    3    2 18.8500    7
  69    2    5 16.5750   13
  70   10   11 18.2750    7
  71   14    9 25.7500    7
  72   11   10 18.2750   13
  73   14    9 25.7500    7
  74    6   11 18.9500    7
  75   14   13 33.2500    7
  76    6   13 12.3750   13
  77    9   14 25.7500    7
  78    5    4 4.0000   13
  79   14    9 25.7500    7
  80    3    4 16.2750   13
  81    2    3 18.8500    7
  82    5    2 16.5750   13
  83   11   10 18.2750    7
  84   10   11 18.2750    7
  85   13    6 12.3750   13
  86   13    6 12.3750   13
  87   12    6 24.3750    7
  88    2    3 18.8500    7
  89    2    4 16.7500   13
  90   14    9 25.7500    7
  91   10   11 18.2750    7
  92    2    5 16.5750    7
  93    6   12 24.3750    7
  94    6   11 18.9500    7
  95    3    2 18.8500    7
  96    5    2 16.5750    7
  97   11    6 18.9500    7
  98   13   14 33.2500    7
  99    4    5 4.0000   13
 100    5    4 4.0000   13
 101   12   13 19.0500   13
 102   11   10 18.2750    7
 103    3    4 16.2750   13
 104   10    9 8.0500   13
 105   13   12 19.0500    7
 106   13   14 33.2500    7
 107    6   11 18.9500    7
 108   10    9 8.0500   13
 109   12    6 24.3750    7
 110   11    6 18.9500   13
 111    3    2 18.8500    7
