Minimum charge required by PS: 14.5867 	 corresponding to sample 124
EVs  From  To  Dist #Evs
   1    4    3 16.2750   13
   2   14    9 25.7500    7
   3    6   13 12.3750   13
   4   11   10 18.2750    7
   5    9   10 8.0500   13
   6    4    5 4.0000   13
   7   10    9 8.0500   13
   8    3    4 16.2750    7
   9    5    2 16.5750    7
  10    3    4 16.2750   13
  11    6   11 18.9500    7
  12   13   14 33.2500    7
  13    4    2 16.7500    7
  14   11   10 18.2750    7
  15   12    6 24.3750    7
  16    4    5 4.0000   13
  17   10    9 8.0500   13
  18    6   11 18.9500    7
  19    3    2 18.8500    7
  20    9   14 25.7500    7
  21    3    4 16.2750   13
  22   11    6 18.9500    7
  23   13    6 12.3750   13
  24    9   10 8.0500   13
  25   12   13 19.0500    7
  26    4    5 4.0000   13
  27   10   11 18.2750    7
  28    4    5 4.0000   13
  29    2    3 18.8500   13
  30   10    9 8.0500   13
  31    3    4 16.2750    7
  32    4    3 16.2750   13
  33    6   11 18.9500    7
  34    3    4 16.2750   13
  35   11    6 18.9500    7
  36    5    2 16.5750   13
  37    2    3 18.8500    7
  38    4    2 16.7500   13
  39    4    3 16.2750    7
  40    9   10 8.0500   13
  41   12   13 19.0500    7
  42   11   10 18.2750    7
  43    2    3 18.8500    7
  44    5    4 4.0000   13
  45    4    3 16.2750   13
  46   13   12 19.0500   13
  47    9   10 8.0500   13
  48   13   12 19.0500    7
  49    2    5 16.5750   13
  50   10    9 8.0500   13
  51    2    4 16.7500   13
  52    2    4 16.7500    7
  53   10    9 8.0500   13
  54    3    4 16.2750    7
  55   11    6 18.9500   13
  56    4    3 16.2750    7
  57   12   13 19.0500    7
  58   12    6 24.3750    7
  59    4    2 16.7500   13
  60    5    2 16.5750    7
  61   11    6 18.9500    7
  62    9   14 25.7500    7
  63    4    5 4.0000   13
  64   10    9 8.0500   13
  65    2    4 16.7500    7
  66    5    2 16.5750   13
  67    9   10 8.0500   13
  68   11    6 18.9500   13
  69    5    4 4.0000   13
  70   10   11 18.2750    7
  71   11   10 18.2750   13
  72    9   10 8.0500   13
  73    6   12 24.3750    7
  74    4    2 16.7500    7
  75   14    9 25.7500    7
  76    3    4 16.2750   13
  77   12    6 24.3750    7
  78    6   12 24.3750    7
  79    4    2 16.7500    7
  80    3    4 16.2750   13
  81    6   11 18.9500    7
  82    2    5 16.5750   13
  83    6   13 12.3750   13
  84   10    9 8.0500   13
  85    9   10 8.0500   13
  86    6   12 24.3750    7
  87    6   13 12.3750   13
  88    4    5 4.0000   13
  89   14    9 25.7500    7
  90   13   14 33.2500    7
  91    2    3 18.8500    7
  92    9   10 8.0500   13
  93    4    3 16.2750   13
  94   10   11 18.2750    7
  95    2    4 16.7500    7
  96    2    5 16.5750   13
  97   12    6 24.3750    7
  98    6   11 18.9500    7
  99    5    4 4.0000   13
 100   13   12 19.0500    7
 101    9   10 8.0500   13
 102    2    5 16.5750    7
 103   11    6 18.9500    7
 104    9   14 25.7500    7
 105    2    3 18.8500    7
 106    5    4 4.0000   13
 107   13   12 19.0500    7
 108    3    4 16.2750   13
 109   10   11 18.2750   13
 110    9   14 25.7500    7
 111   11    6 18.9500    7
 112    2    4 16.7500   13
 113    6   11 18.9500    7
 114    4    2 16.7500    7
 115    6   13 12.3750   13
 116   13   14 33.2500    7
 117   11    6 18.9500    7
 118   10    9 8.0500   13
 119   11    6 18.9500   13
 120   14    9 25.7500    7
 121   13   12 19.0500    7
 122   13    6 12.3750   13
 123   11   10 18.2750    7
 124    4    2 16.7500   13
 125    4    5 4.0000   13
 126    6   12 24.3750    7
 127   13   12 19.0500    7
 128    6   11 18.9500    7
 129    5    2 16.5750   13
 130    9   10 8.0500   13
 131   13    6 12.3750   13
 132   14   13 33.2500    7
 133   11   10 18.2750    7
 134    6   11 18.9500    7
 135   10   11 18.2750    7
 136   13    6 12.3750   13
 137    3    4 16.2750    7
 138    6   13 12.3750   13
 139   14    9 25.7500    7
 140   14    9 25.7500    7
 141   14    9 25.7500    7
 142    5    2 16.5750   13
 143    3    2 18.8500   13
 144   13    6 12.3750   13
 145    6   13 12.3750   13
 146    6   12 24.3750    7
 147    6   12 24.3750    7
 148   12    6 24.3750    7
 149    4    5 4.0000   13
 150   10    9 8.0500   13
 151    2    3 18.8500    7
 152    2    5 16.5750   13
 153    2    4 16.7500    7
 154    9   10 8.0500   13
 155    6   12 24.3750    7
 156   11   10 18.2750   13
 157    5    4 4.0000   13
 158    9   10 8.0500   13
 159    2    3 18.8500    7
 160    4    3 16.2750   13
 161    6   11 18.9500   13
 162    3    4 16.2750   13
 163    9   10 8.0500   13
 164    2    5 16.5750   13
 165    5    4 4.0000   13
 166   13   12 19.0500    7
 167    4    2 16.7500    7
 168   11   10 18.2750    7
 169    2    5 16.5750   13
 170   14   13 33.2500    7
 171    4    5 4.0000   13
 172    4    3 16.2750    7
 173   13    6 12.3750   13
 174    9   10 8.0500   13
 175    5    4 4.0000   13
 176   14   13 33.2500    7
 177    4    3 16.2750    7
 178   11    6 18.9500    7
 179   13   12 19.0500   13
 180    2    4 16.7500    7
 181    3    4 16.2750    7
 182   14    9 25.7500    7
 183   13    6 12.3750   13
 184    3    4 16.2750   13
 185    3    4 16.2750   13
 186   10    9 8.0500   13
 187    6   12 24.3750    7
 188   10   11 18.2750   13
 189    9   10 8.0500   13
 190   12    6 24.3750    7
 191    4    3 16.2750   13
 192   11   10 18.2750    7
 193   14    9 25.7500    7
 194   10    9 8.0500   13
 195    5    2 16.5750    7
 196    3    2 18.8500    7
 197   12   13 19.0500    7
 198   10    9 8.0500   13
 199    4    3 16.2750   13
 200    5    2 16.5750   13
