Minimum charge required by PS: 27.5256 	 corresponding to sample 79
EVs  From  To  Dist #Evs
 226    4    2 16.7500   13
 227   12   13 19.0500    7
 228   10    9 8.0500   13
 229   12    6 24.3750    7
 230    2    3 18.8500    7
 231    3    4 16.2750   13
 232    6   12 24.3750    7
 233    9   14 25.7500    7
 234    3    2 18.8500    7
 235   10   11 18.2750   13
 236   13   14 33.2500    7
 237   12   13 19.0500    7
 238    5    4 4.0000   13
 239   11   10 18.2750    7
 240   14   13 33.2500    7
 241   10   11 18.2750    7
 242    4    5 4.0000   13
 243    4    5 4.0000   13
 244   12   13 19.0500    7
 245    6   11 18.9500   13
 246   12   13 19.0500    7
 247   10    9 8.0500   13
 248    9   10 8.0500   13
 249   11    6 18.9500    7
 250   10    9 8.0500   13
 251    9   14 25.7500    7
 252    2    5 16.5750   13
 253   14   13 33.2500    7
 254   11    6 18.9500    7
 255    6   11 18.9500    7
 256   14   13 33.2500    7
 257    5    2 16.5750   13
 258   14    9 25.7500    7
 259    5    4 4.0000   13
 260   11    6 18.9500    7
 261   14   13 33.2500    7
 262    6   13 12.3750   13
 263   12   13 19.0500    7
 264    5    2 16.5750   13
 265   13   14 33.2500    7
 266   13   14 33.2500    7
 267    4    5 4.0000   13
 268   10   11 18.2750    7
 269    9   10 8.0500   13
 270   12    6 24.3750    7
 271   11   10 18.2750   13
 272    9   10 8.0500   13
 273   13    6 12.3750   13
 274    4    5 4.0000   13
 275    2    5 16.5750   13
 276    5    4 4.0000   13
 277    3    4 16.2750   13
 278    5    4 4.0000   13
 279   11    6 18.9500    7
 280   10   11 18.2750    7
 281    2    5 16.5750   13
 282   12    6 24.3750    7
 283    2    4 16.7500   13
 284    3    4 16.2750   13
 285    3    2 18.8500    7
 286    4    5 4.0000   13
 287    4    5 4.0000   13
 288    2    3 18.8500    7
 289    5    4 4.0000   13
 290    6   13 12.3750   13
 291    5    4 4.0000   13
 292    3    4 16.2750   13
 293   10    9 8.0500   13
 294   12   13 19.0500    7
 295   12   13 19.0500    7
 296   13    6 12.3750   13
 297   13    6 12.3750   13
 298   11    6 18.9500    7
 299   14    9 25.7500    7
 300    5    4 4.0000   13
 301   11   10 18.2750    7
 302   14   13 33.2500    7
 303    2    3 18.8500    7
 304    5    4 4.0000   13
 305   12   13 19.0500    7
 306   13    6 12.3750   13
 307    6   12 24.3750    7
 308    6   13 12.3750   13
 309    5    2 16.5750    7
 310    6   11 18.9500    7
 311    4    3 16.2750   13
 312   14    9 25.7500    7
 313    2    3 18.8500    7
 314    9   10 8.0500   13
 315    5    4 4.0000   13
 316   11    6 18.9500    7
 317   10   11 18.2750    7
 318    9   14 25.7500    7
 319    5    4 4.0000   13
 320   12   13 19.0500    7
 321    4    3 16.2750   13
 322   14   13 33.2500    7
 323    9   10 8.0500   13
 324   14    9 25.7500    7
 325   14    9 25.7500    7
 326    6   12 24.3750    7
 327   14    9 25.7500    7
 328   12   13 19.0500    7
 329    2    5 16.5750   13
 330    6   12 24.3750    7
 331    6   13 12.3750   13
 332    6   12 24.3750    7
 333   12   13 19.0500   13
 334    2    3 18.8500    7
 335    5    4 4.0000   13
 336   14    9 25.7500    7
 337    3    4 16.2750   13
 338   13   14 33.2500    7
 339   10    9 8.0500   13
 340   10    9 8.0500   13
 341    4    2 16.7500    7
 342    9   10 8.0500   13
 343   11   10 18.2750   13
 344    2    4 16.7500   13
 345    4    3 16.2750   13
 346    3    2 18.8500   13
 347   11   10 18.2750    7
 348   14    9 25.7500    7
 349   11    6 18.9500    7
 350   14   13 33.2500    7
 351   10   11 18.2750    7
 352   10   11 18.2750    7
 353    9   14 25.7500    7
 354    5    2 16.5750   13
 355    5    4 4.0000   13
 356   13    6 12.3750   13
 357   10   11 18.2750    7
 358    5    4 4.0000   13
 359    6   13 12.3750   13
 360    6   12 24.3750    7
 361    2    5 16.5750   13
 362    6   13 12.3750   13
 363    5    2 16.5750   13
 364   13   12 19.0500    7
 365    6   13 12.3750   13
 366    9   10 8.0500   13
 367   14   13 33.2500    7
 368    5    4 4.0000   13
 369    9   10 8.0500   13
 370   12    6 24.3750    7
 371    4    5 4.0000   13
 372    5    2 16.5750    7
 373   10   11 18.2750   13
 374    2    3 18.8500    7
 375   11   10 18.2750    7
