Maximum charge required by PS: 37.95372000 	 corresponding to sample 8
 EVs  From  To  Dist #EVs
  233    4    3 16.2750    7
  234   14   13 33.2500   13
  235   14   13 33.2500   13
  236    2    3 18.8500   13
  237    9   10 8.0500    7
  238   14    9 25.7500   13
  239   10    9 8.0500    7
  240    5    4 4.0000    7
  241    2    4 16.7500   13
  242   12    6 24.3750   13
  243   11   10 18.2750   13
  244    4    2 16.7500    7
  245   14   13 33.2500   13
  246    2    4 16.7500   13
  247    4    5 4.0000    7
  248   14   13 33.2500   13
  249   12    6 24.3750   13
  250   12   13 19.0500   13
  251    5    2 16.5750    7
  252    4    2 16.7500   13
  253   12   13 19.0500   13
  254   12   13 19.0500   13
  255    6   13 12.3750    7
  256   13   14 33.2500   13
  257   10   11 18.2750    7
  258   10    9 8.0500    7
  259   14    9 25.7500   13
  260    2    4 16.7500    7
  261    6   12 24.3750   13
  262   11    6 18.9500   13
  263   11    6 18.9500   13
  264   10   11 18.2750    7
  265   10   11 18.2750   13
  266    3    2 18.8500   13
  267    9   14 25.7500   13
  268   13   12 19.0500   13
  269    5    4 4.0000    7
  270   13    6 12.3750    7
  271   13   14 33.2500   13
  272   10   11 18.2750   13
  273   11    6 18.9500   13
  274   12   13 19.0500    7
  275    4    5 4.0000    7
  276    2    3 18.8500   13
  277    9   10 8.0500    7
  278   10   11 18.2750    7
  279   14   13 33.2500   13
  280   12   13 19.0500    7
  281    5    2 16.5750   13
  282    5    4 4.0000    7
  283    4    2 16.7500    7
  284   11   10 18.2750    7
  285    3    4 16.2750    7
  286    2    4 16.7500    7
  287   13   14 33.2500   13
  288    3    2 18.8500   13
  289    9   10 8.0500    7
  290   11    6 18.9500   13
  291   13    6 12.3750    7
  292   11    6 18.9500    7
  293   13   14 33.2500   13
  294    9   14 25.7500   13
  295   11   10 18.2750   10
  296   11    6 18.9500    7
  297   11    6 18.9500   13
  298    4    2 16.7500    7
  299    2    3 18.8500    7
  300   13   12 19.0500   13
  301   13   12 19.0500   13
  302   14    9 25.7500   13
  303    5    4 4.0000    7
  304   10   11 18.2750   13
  305   13    6 12.3750    7
  306    2    5 16.5750    7
  307    5    2 16.5750   13
  308    5    4 4.0000    7
  309    2    3 18.8500    7
  310    2    3 18.8500    7
  311    2    3 18.8500    7
  312   11    6 18.9500   13
  313    6   13 12.3750    7
  314    9   14 25.7500   13
  315    9   10 8.0500    7
  316    6   11 18.9500   13
  317    5    4 4.0000    7
  318    5    4 4.0000    7
  319   12    6 24.3750   13
  320    4    3 16.2750    7
  321    2    5 16.5750    7
  322   12    6 24.3750   13
  323    2    3 18.8500    7
  324   11    6 18.9500   13
  325    4    3 16.2750    7
  326   13    6 12.3750    7
  327    9   10 8.0500    7
  328    3    2 18.8500   13
  329   14    9 25.7500   13
  330   12    6 24.3750   13
  331    4    3 16.2750    7
  332    6   12 24.3750   13
  333    2    5 16.5750    7
  334    5    2 16.5750    7
  335   10   11 18.2750   13
  336   14   13 33.2500   13
  337   11    6 18.9500   13
  338   14    9 25.7500   13
  339    6   11 18.9500   13
  340    5    2 16.5750    7
  341    5    4 4.0000    7
  342    9   14 25.7500   13
  343    3    4 16.2750    7
  344    3    4 16.2750    7
  345    2    4 16.7500    7
  346   11   10 18.2750   13
  347    6   11 18.9500    7
  348   14   13 33.2500   13
  349   12   13 19.0500    7
  350   13   12 19.0500   13
  351   11   10 18.2750    7
  352   14   13 33.2500   13
  353    5    2 16.5750    7
  354    6   12 24.3750   13
  355   13   12 19.0500   13
  356    9   14 25.7500   13
  357    4    3 16.2750    7
  358   13   12 19.0500   13
  359   10   11 18.2750    7
  360    4    3 16.2750    7
  361    3    4 16.2750    7
  362   11   10 18.2750   13
  363    4    3 16.2750    7
  364    5    2 16.5750    7
  365   13   12 19.0500    7
  366   10    9 8.0500    7
  367   14   13 33.2500   13
  368    4    2 16.7500   13
  369    5    2 16.5750    7
  370   13    6 12.3750    7
  371    3    2 18.8500    7
  372    5    4 4.0000    7
  373    2    4 16.7500    7
  374   10    9 8.0500    7
  375   12    6 24.3750   13
