Maximum charge required by PS: 37.95372000 	 corresponding to sample 8
 EVs  From  To  Dist #EVs
    1    5    4 4.0000    7
    2    6   12 24.3750   13
    3    4    3 16.2750    7
    4    3    2 18.8500   13
    5   13   14 33.2500   13
    6    2    3 18.8500    7
    7    5    2 16.5750    7
    8   12   13 19.0500   13
    9    2    3 18.8500   13
   10    4    2 16.7500    7
   11   13   14 33.2500   13
   12    6   12 24.3750   13
   13   12   13 19.0500   13
   14    2    3 18.8500   13
   15   14    9 25.7500   13
   16    6   12 24.3750   13
   17   14   13 33.2500   13
   18   10    9 8.0500    7
   19   13    6 12.3750    7
   20    6   12 24.3750   13
   21    4    5 4.0000    7
   22   11   10 18.2750    7
   23    6   11 18.9500   13
   24    3    2 18.8500   13
   25   14    9 25.7500   13
   26    4    2 16.7500    7
   27   13   14 33.2500   13
   28    3    2 18.8500    7
   29    3    2 18.8500   13
   30   14   13 33.2500   13
   31   12   13 19.0500    7
   32   12    6 24.3750   13
   33   14    9 25.7500   13
   34   11   10 18.2750    7
   35   14   13 33.2500   13
   36   11    6 18.9500    7
   37    3    2 18.8500   13
   38   12    6 24.3750   13
   39    2    3 18.8500   13
   40   14    9 25.7500   13
   41    4    2 16.7500    7
   42   12    6 24.3750   13
   43    2    5 16.5750    7
   44   10   11 18.2750   13
   45    2    5 16.5750    7
   46    2    3 18.8500   13
   47   14    9 25.7500   13
   48   11   10 18.2750   13
   49    6   12 24.3750   13
   50    3    2 18.8500   13
   51   13   12 19.0500    7
   52    6   11 18.9500    7
   53    3    4 16.2750    7
   54    9   14 25.7500   13
   55   12    6 24.3750   13
   56    2    3 18.8500   13
   57    9   10 8.0500    7
   58   12    6 24.3750   13
   59    2    5 16.5750    7
   60    3    4 16.2750    7
   61    9   14 25.7500   13
   62   13   12 19.0500    7
   63   11    6 18.9500    7
   64    6   11 18.9500    7
   65    6   13 12.3750    7
   66    6   13 12.3750    7
   67    4    3 16.2750    7
   68    4    2 16.7500    7
   69   14    9 25.7500   13
   70   14    9 25.7500   13
   71   14   13 33.2500   13
   72    9   14 25.7500   13
   73    9   14 25.7500   13
   74    3    4 16.2750    7
   75    4    3 16.2750    7
   76   11   10 18.2750    7
   77    2    3 18.8500   13
   78   12    6 24.3750   13
   79    9   14 25.7500   13
   80   10    9 8.0500    7
   81   10    9 8.0500    7
   82    4    5 4.0000    7
   83   13    6 12.3750    7
   84    4    5 4.0000    7
   85   11   10 18.2750    7
   86   13   12 19.0500    7
   87    9   14 25.7500   13
   88    4    3 16.2750    7
   89   13    6 12.3750    7
   90   10    9 8.0500    7
   91   14   13 33.2500   13
   92   12    6 24.3750   13
   93   13   12 19.0500    7
   94    4    5 4.0000    7
   95   12    6 24.3750   13
   96    9   14 25.7500   13
   97    9   14 25.7500   13
   98   13   14 33.2500   13
   99   10   11 18.2750    7
  100    4    3 16.2750    7
  101    6   11 18.9500   13
  102    5    4 4.0000    7
  103    2    4 16.7500    7
  104    9   10 8.0500    7
  105   10    9 8.0500    7
  106    5    2 16.5750    7
  107   14   13 33.2500   13
  108    3    4 16.2750    7
  109   14   13 33.2500   13
  110   12    6 24.3750   13
  111   11    6 18.9500    7
  112   13    6 12.3750    7
  113   11    6 18.9500   13
  114    4    2 16.7500    7
  115    3    2 18.8500    7
  116    4    5 4.0000    7
  117    9   10 8.0500    7
  118    3    4 16.2750    7
  119   13    6 12.3750    7
  120   13   14 33.2500   13
  121   11   10 18.2750    7
  122   14    9 25.7500   13
  123   10   11 18.2750    7
  124    9   10 8.0500    7
  125    4    3 16.2750    7
  126   12    6 24.3750   13
  127    6   11 18.9500    7
  128   10    9 8.0500    7
  129    4    3 16.2750    7
  130    6   11 18.9500    7
  131    3    4 16.2750    7
  132    2    4 16.7500   13
  133   10   11 18.2750    7
  134    3    2 18.8500   13
  135   13   12 19.0500   13
  136   13    6 12.3750    7
  137    6   12 24.3750   13
  138    2    5 16.5750    7
  139   10   11 18.2750   13
  140    2    5 16.5750    7
  141    6   11 18.9500   13
  142   12   13 19.0500   13
  143    9   14 25.7500   13
  144   12    6 24.3750   13
  145    6   13 12.3750    7
  146    4    3 16.2750    7
  147   12    6 24.3750   13
  148   13   12 19.0500    7
  149   10   11 18.2750    7
  150   14    9 25.7500   13
  151    9   14 25.7500   13
  152    9   14 25.7500   13
  153   14   13 33.2500   13
  154   13    6 12.3750    7
  155   13   14 33.2500   13
  156   13   12 19.0500    7
  157   14   13 33.2500   13
  158    3    4 16.2750    7
  159    6   11 18.9500   13
  160    3    2 18.8500    7
  161   10   11 18.2750   13
  162    4    2 16.7500    7
  163    6   12 24.3750   13
  164   14    9 25.7500   13
  165   12    6 24.3750   13
  166   11   10 18.2750    7
  167   10   11 18.2750   13
  168   12    6 24.3750   13
  169    5    4 4.0000    7
  170    2    3 18.8500    7
  171   11   10 18.2750   13
  172   13   14 33.2500   13
  173   14    9 25.7500   13
  174   13   14 33.2500   13
  175    4    3 16.2750    7
  176    5    2 16.5750   13
  177   14    9 25.7500   13
  178    3    4 16.2750    7
  179   12   13 19.0500   13
  180   14   13 33.2500   13
  181   11    6 18.9500   13
  182    6   13 12.3750    7
  183   14    9 25.7500   13
  184    6   12 24.3750   13
  185   12   13 19.0500    7
  186   12   13 19.0500   13
  187    5    4 4.0000    7
  188   10   11 18.2750   13
  189   14    9 25.7500   13
  190    3    4 16.2750    7
  191   13    6 12.3750    7
  192   11    6 18.9500    7
  193    2    5 16.5750   13
  194    9   14 25.7500   13
  195    3    2 18.8500   13
  196    4    5 4.0000    7
  197    3    2 18.8500   13
  198    3    4 16.2750    7
  199   14    9 25.7500   13
  200    2    3 18.8500    7
  201    3    4 16.2750    7
  202   11   10 18.2750    7
  203   13   14 33.2500   13
  204   13   14 33.2500   13
  205    2    3 18.8500   13
  206   11   10 18.2750    7
  207   11   10 18.2750    7
  208    5    4 4.0000    7
  209    5    4 4.0000    7
  210    5    4 4.0000    7
  211   13   12 19.0500   13
  212    4    2 16.7500    7
  213    5    4 4.0000    7
  214   14    9 25.7500   13
  215    3    2 18.8500   13
  216    9   14 25.7500   13
  217   12    6 24.3750   13
  218    3    4 16.2750    7
  219   10    9 8.0500    7
  220    4    5 4.0000    7
  221   11    6 18.9500   13
  222   10    9 8.0500    7
  223    9   10 8.0500    7
  224    9   14 25.7500   13
  225   12    6 24.3750   13
  226   14    9 25.7500   13
  227    9   10 8.0500    7
  228   11   10 18.2750    7
  229    6   12 24.3750   13
  230    6   11 18.9500   13
  231   12   13 19.0500   13
  232    9   10 8.0500    7
